,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Weather Description,Rain (inches),Snow (inches)
0,Vaini,TO,-21.2,-175.2,69.8,88,75,13.87,broken clouds,0.0,0
1,Talnakh,RU,69.49,88.4,55.4,87,62,8.95,broken clouds,0.0,0
2,Severo-Yeniseyskiy,RU,60.37,93.04,59.2,75,100,4.74,overcast clouds,0.0,0
3,Nikolskoye,RU,59.7,30.79,64.0,72,75,2.75,light intensity shower rain,0.0,0
4,Punta Arenas,CL,-53.15,-70.92,39.0,78,20,21.92,few clouds,0.0,0
5,Luderitz,NA,-26.65,15.16,59.0,77,0,3.36,clear sky,0.0,0
6,Mahebourg,MU,-20.41,57.7,71.6,73,40,17.22,scattered clouds,0.0,0
7,Busselton,AU,-33.65,115.33,55.99,81,44,13.24,scattered clouds,0.0,0
8,Saint-Louis,SN,16.33,-15.0,98.6,44,40,2.24,scattered clouds,0.0,0
9,New Norfolk,AU,-42.78,147.06,37.99,91,3,1.59,clear sky,0.0,0
10,Sistranda,NO,63.73,8.83,53.01,87,75,11.41,shower rain,0.0,0
11,Nara,JP,34.69,135.8,70.0,64,100,2.42,overcast clouds,0.0,0
12,Nesbyen,NO,60.57,9.1,52.0,58,12,8.99,few clouds,0.0,0
13,Talcahuano,CL,-36.72,-73.12,53.6,100,90,10.29,light intensity drizzle,0.0,0
14,Mataura,NZ,-46.19,168.86,39.0,83,77,3.0,broken clouds,0.0,0
15,Tazovskiy,RU,67.47,78.7,50.47,72,98,2.19,overcast clouds,0.0,0
16,Coffs Harbour,AU,-30.3,153.13,52.0,93,2,6.93,clear sky,0.0,0
17,Codrington,AU,-38.27,141.97,44.04,90,0,2.68,clear sky,0.0,0
18,Qaanaaq,GL,77.48,-69.36,46.15,60,78,2.13,broken clouds,0.0,0
19,Dhidhdhoo,MV,6.88,73.1,83.88,69,85,4.54,overcast clouds,0.0,0
20,Nhulunbuy,AU,-12.23,136.77,75.2,57,30,17.22,scattered clouds,0.0,0
21,Lebu,CL,-37.62,-73.65,50.49,91,100,1.95,overcast clouds,0.0,0
22,Kabo,CF,7.7,18.63,75.02,85,43,0.31,light rain,0.26,0
23,Ponta Do Sol,PT,32.67,-17.1,75.0,70,0,3.74,clear sky,0.0,0
24,Manoel Urbano,BR,-8.84,-69.26,93.47,38,9,2.66,clear sky,0.0,0
25,Pisco,PE,-13.7,-76.22,64.99,77,15,9.17,haze,0.0,0
26,Bonthe,SL,7.53,-12.51,78.53,79,94,10.63,overcast clouds,0.0,0
27,Hithadhoo,MV,-0.6,73.08,85.06,70,84,6.73,broken clouds,0.0,0
28,Goderich,CA,43.75,-81.72,70.0,81,100,19.06,light rain,0.16,0
29,Pitimbu,BR,-7.47,-34.81,82.4,65,75,12.75,broken clouds,0.0,0
30,Rikitea,PF,-23.12,-134.97,71.26,70,0,16.93,clear sky,0.0,0
31,San Pedro,PH,14.35,121.02,82.99,89,100,2.86,overcast clouds,0.0,0
32,Lorengau,PG,-2.02,147.27,81.68,76,89,3.11,overcast clouds,0.0,0
33,Puerto Escondido,MX,15.85,-97.07,87.8,66,90,6.93,overcast clouds,0.0,0
34,Tasiilaq,GL,65.61,-37.64,42.8,81,41,12.75,scattered clouds,0.0,0
35,Chuy,UY,-33.7,-53.46,54.82,62,54,9.66,broken clouds,0.0,0
36,Ginir,ET,7.13,40.7,60.35,85,36,9.19,scattered clouds,0.0,0
37,Bow Island,CA,49.87,-111.37,75.0,49,75,13.87,broken clouds,0.0,0
38,Atuona,PF,-9.8,-139.03,80.2,75,24,24.09,few clouds,0.0,0
39,Albany,US,42.6,-73.97,87.01,43,43,1.99,scattered clouds,0.0,0
40,Mar Del Plata,AR,-38.0,-57.56,50.0,37,20,17.22,few clouds,0.0,0
41,Alamosa,US,37.47,-105.87,78.8,24,1,4.7,clear sky,0.0,0
42,Kaura Namoda,NG,12.59,6.58,75.97,66,98,19.95,light rain,0.91,0
43,Dunedin,NZ,-45.87,170.5,41.0,68,1,14.0,clear sky,0.0,0
44,Bethel,US,41.37,-73.41,84.99,54,40,9.17,scattered clouds,0.0,0
