,City,Country,Max Temp,Weather Description,Lat,Lng,Hotel Name
22,Kabo,CF,75.02,light rain,7.7,18.63,
42,Kaura Namoda,NG,75.97,light rain,12.59,6.58,Moonlight Hotel
77,Amahai,ID,77.02,moderate rain,-3.33,128.92,Hotel isabella
80,Gasan,PH,80.01,moderate rain,13.32,121.85,JADE FRANCISCO
109,Kirakira,SB,78.96,light rain,-10.45,161.92,SanBiz Lodge
111,Bac Giang,VN,86.0,light rain,21.27,106.2,Ravatel Home Hotel
112,Butaritari,KI,82.69,light rain,3.07,172.79,Isles Sunset Lodge
127,Buala,SB,80.33,moderate rain,-8.14,159.59,Maringe Lagoon Lodge
146,Pandan,PH,77.63,moderate rain,14.05,124.17,Bonifacio Lodge
156,Yuli,NG,76.21,light rain,9.7,10.27,
158,Luwuk,ID,76.96,light rain,-0.95,122.79,Hotel Santika Luwuk
166,Sinnamary,GF,81.59,light rain,5.38,-52.95,ALETHEIA Appartement Sinnamary
168,Homnabad,IN,77.61,moderate rain,17.77,77.13,Marthand Vilas
181,Bubaque,GW,78.24,light rain,11.28,-15.83,Casa Dora
190,Tura,IN,75.16,moderate rain,25.52,90.22,Hotel RIKMAN Continental
233,Biak,ID,76.33,light rain,-0.91,122.88,Kost Ariz
267,Bacolod,PH,78.26,light rain,10.67,122.95,Planta Hotel & Residences
270,Rajampet,IN,78.75,heavy intensity rain,14.18,79.17,Maruthi Prasanna
271,Nakhon Nayok,TH,91.0,moderate rain,14.2,101.21,Chandra Resort Hotel
286,Siquijor,PH,81.43,light rain,9.21,123.52,Cecilia's Guesthouse
290,Minuri,PH,75.18,light rain,16.54,121.86,
314,Kavaratti,IN,82.56,moderate rain,10.57,72.64,Bismillah Hotel And Lodging
342,San Diego De Los Banos,CU,87.46,moderate rain,22.65,-83.37,Casa Nalúa - Nalúa Enea
362,Yining,CN,75.79,light rain,29.04,114.56,Xiushui Hotel
385,Ko Samui,TH,82.87,light rain,9.54,99.94,"The Passage Samui Villas & Resort, Thailand"
407,Am Timan,TD,80.65,light rain,11.03,20.28,
424,Vung Tau,VN,82.08,moderate rain,10.35,107.08,Seaside Resort
453,Gizo,SB,82.42,light rain,-8.1,156.84,Imagination Island
469,Pak Chong,TH,76.46,light rain,14.71,101.42,PakChong Phubade Hotel
471,Phan Thiet,VN,77.95,light rain,10.93,108.1,Hotel Saigon-PT
482,Tarakan,ID,79.21,light rain,3.3,117.63,Hotel D' CaLia Tarakan
498,Coari,BR,86.31,light rain,-4.08,-63.14,HOTEL ALEX FLAT
500,Marawi,PH,75.0,moderate rain,8.0,124.29,Derogongan Residence
505,Isabela,PH,77.88,light rain,6.71,121.97,Isawad Resort
510,Kapoeta,SS,75.24,light rain,4.77,33.59,Eastgate Hotel
518,Mabaruma,GY,86.77,light rain,8.2,-59.78,
523,Pau,FR,78.8,light rain,43.42,-0.58,O'jardin
526,Daru,PG,77.05,moderate rain,-9.08,143.21,New century hotel
534,Sola,VU,80.33,light rain,-13.88,167.55,Leumerus Bungalows
540,Kumo,NG,80.28,light rain,10.04,11.21,Ajegunle Lodge(corpers Lodge)
546,Toshkivka,UA,81.32,light rain,48.78,38.58,
547,Samarai,PG,78.04,moderate rain,-10.62,150.67,Nuli Sapi
549,Teknaf,BD,80.47,light rain,20.86,92.31,Magnum Engineering & Construction
550,Muisne,EC,77.77,light rain,0.6,-80.03,Quinta Samay
